Date,Mkt-RF,SMB,HML,RF
199007   ,-1.60   ,-2.52   ,-0.75    ,0.68
199008   ,-9.66   ,-2.93    ,0.96    ,0.66
199009   ,-6.10   ,-2.98    ,0.32    ,0.60
199010   ,-2.06   ,-4.53   ,-1.37    ,0.68
199011    ,5.93    ,0.26   ,-1.79    ,0.57
199012    ,2.51    ,1.48   ,-1.08    ,0.60
199101    ,4.27    ,2.40   ,-0.05    ,0.52
199102    ,7.18    ,4.25   ,-0.83    ,0.48
199103    ,2.44    ,4.34   ,-2.99    ,0.44
199104   ,-0.17   ,-0.04    ,1.25    ,0.53
199105    ,3.59   ,-0.07   ,-0.01    ,0.47
199106   ,-4.71    ,0.75    ,0.56    ,0.42
199107    ,3.99   ,-0.78   ,-2.54    ,0.49
199108    ,2.17    ,1.17   ,-1.67    ,0.46
199109   ,-1.70    ,1.86   ,-0.78    ,0.46
199110    ,1.45    ,0.90   ,-0.18    ,0.42
199111   ,-4.16   ,-0.34   ,-2.22    ,0.39
199112   ,10.03   ,-2.99   ,-5.32    ,0.38
199201   ,-0.68    ,8.08    ,4.00    ,0.34
199202    ,1.00    ,0.82    ,4.82    ,0.28
199203   ,-2.74   ,-1.55    ,4.17    ,0.34
199204    ,1.12   ,-5.82    ,3.46    ,0.32
199205    ,0.32   ,-0.25    ,0.91    ,0.28
199206   ,-2.16   ,-2.84    ,2.81    ,0.32
199207    ,3.66   ,-0.91   ,-0.79    ,0.31
199208   ,-2.32   ,-0.38   ,-0.24    ,0.26
199209    ,0.72    ,0.44   ,-0.96    ,0.26
199210    ,0.97    ,2.35   ,-3.12    ,0.23
199211    ,3.51    ,3.62   ,-2.89    ,0.23
199212    ,1.55    ,1.58    ,2.07    ,0.28
199301    ,0.75    ,2.02    ,5.17    ,0.23
199302    ,0.45   ,-3.61    ,7.23    ,0.22
199303    ,2.34    ,0.60    ,1.98    ,0.25
199304   ,-2.60   ,-0.37    ,2.99    ,0.24
199305    ,2.81    ,2.03   ,-2.80    ,0.22
199306    ,0.27    ,0.46    ,1.98    ,0.25
199307   ,-0.37    ,0.90    ,2.52    ,0.24
199308    ,3.58    ,0.49    ,0.17    ,0.25
199309   ,-0.35    ,2.53    ,0.33    ,0.26
199310    ,1.70    ,1.95   ,-2.97    ,0.22
199311   ,-1.86   ,-1.41   ,-0.59    ,0.25
199312    ,1.68    ,0.91    ,1.05    ,0.23
199401    ,2.93   ,-0.20    ,1.85    ,0.25
199402   ,-2.62    ,2.02   ,-0.76    ,0.21
199403   ,-4.64   ,-0.84    ,1.77    ,0.27
199404    ,0.61   ,-1.16    ,1.68    ,0.27
199405    ,0.74   ,-2.32    ,1.24    ,0.32
199406   ,-3.15   ,-0.87    ,2.16    ,0.31
199407    ,2.82   ,-1.74    ,0.47    ,0.28
199408    ,4.02    ,0.54   ,-2.56    ,0.37
199409   ,-2.07    ,2.83   ,-1.11    ,0.37
199410    ,1.17   ,-1.66   ,-1.51    ,0.38
199411   ,-4.09   ,-0.14   ,-1.16    ,0.37
199412    ,0.89   ,-0.39   ,-0.25    ,0.44
199501    ,1.39   ,-2.38    ,1.51    ,0.42
199502    ,3.63   ,-0.71    ,0.61    ,0.40
199503    ,2.25   ,-0.16   ,-1.59    ,0.46
199504    ,2.13   ,-0.23    ,1.47    ,0.45
199505    ,2.94   ,-1.90    ,1.23    ,0.54
199506    ,2.50    ,3.42   ,-2.93    ,0.47
199507    ,3.60    ,2.36   ,-2.38    ,0.45
199508    ,0.49    ,1.35    ,2.16    ,0.47
199509    ,3.19   ,-1.48   ,-0.92    ,0.43
199510   ,-1.58   ,-4.08   ,-0.50    ,0.47
199511    ,3.93   ,-0.52    ,0.01    ,0.42
199512    ,1.01    ,0.53   ,-0.52    ,0.49
199601    ,2.45   ,-2.49    ,0.00    ,0.43
199602    ,1.25    ,2.20   ,-1.93    ,0.39
199603    ,0.83    ,1.27    ,0.86    ,0.39
199604    ,1.99    ,5.31   ,-3.08    ,0.46
199605    ,2.14    ,3.27   ,-1.35    ,0.42
199606   ,-1.03   ,-4.45    ,2.01    ,0.40
